critic,FAR_verdict_only_instructed,n_verdict_only_instructed,FAR_verdict_only_neutral,n_verdict_only_neutral,FAR_verdict_schema_matched,n_verdict_schema_matched,FAR_verdict_plus_repair,n_verdict_plus_repair,FAR_verdict_plus_repair_reversed,n_verdict_plus_repair_reversed,delta_verdict_only_instructed_vs_neutral_pp,CI_low_verdict_only_instructed_vs_neutral_pp,CI_high_verdict_only_instructed_vs_neutral_pp,delta_verdict_schema_matched_vs_neutral_pp,CI_low_verdict_schema_matched_vs_neutral_pp,CI_high_verdict_schema_matched_vs_neutral_pp,delta_verdict_plus_repair_vs_neutral_pp,CI_low_verdict_plus_repair_vs_neutral_pp,CI_high_verdict_plus_repair_vs_neutral_pp,delta_verdict_plus_repair_reversed_vs_neutral_pp,CI_low_verdict_plus_repair_reversed_vs_neutral_pp,CI_high_verdict_plus_repair_reversed_vs_neutral_pp
gemma-4,0.45481927710843373,332,0.46686746987951805,332,0.4622356495468278,331,0.5120481927710844,332,0.5391566265060241,332,-1.2048192771084338,-2.710843373493976,0.0,-0.6042296072507553,-1.5105740181268883,0.0,4.518072289156627,2.108433734939759,7.228915662650602,7.228915662650602,4.216867469879518,10.542168674698797
gpt-oss-no-think,0.6080691642651297,347,0.6397694524495677,347,0.6426512968299711,347,0.6858789625360231,347,0.6426512968299711,347,-3.170028818443804,-7.492795389048991,1.1527377521613833,0.2881844380403458,-4.034582132564841,4.610951008645533,4.610951008645533,0.0,9.221902017291066,0.2881844380403458,-4.034582132564841,4.322766570605188
qwen3-no-think,0.4622093023255814,688,0.5363372093023255,688,0.4883720930232558,688,0.5319767441860465,688,,0,-7.380073800738007,-9.501845018450185,-5.442804428044281,-4.797047970479705,-6.642066420664207,-2.952029520295203,-0.7380073800738007,-2.5830258302583027,1.107011070110701,,,
