critic_model,n,FAR_initial,FAR_final,delta_full_minus_initial_pp,CI_low_pp,CI_high_pp
gpt-oss-no-think,5100,0.6825490196078431,0.7727450980392156,9.019607843137255,7.862745098039216,10.215686274509803
qwen3-no-think,4444,0.4738973897389739,0.5596309630963097,8.573357335733574,7.6282628262826275,9.54095409540954
