critic,condition,n_wrong,n_correct,FAR_gated,FAR_oneshot,delta_FAR_pp,CI_FAR_low,CI_FAR_high,TAR_gated,TAR_oneshot,delta_TAR_pp,CI_TAR_low,CI_TAR_high,Harm_gated,Harm_oneshot,delta_Harm_pp,CI_Harm_low,CI_Harm_high
gemma-4,anonymous,332,200,0.46686746987951805,0.5120481927710844,-4.518072289156633,-6.927710843373497,-2.1084337349397577,0.925,0.935,-1.0000000000000009,-3.499999999999992,1.4999999999999902,0.035,0.035,0.0,-2.5,2.5
gemma-4,other_model,332,200,0.463855421686747,0.5,-3.6144578313253017,-6.024096385542172,-1.2048192771084376,0.91,0.93,-2.0000000000000018,-4.5000000000000036,0.49999999999998934,0.035,0.035,0.0,-2.0,2.0
gpt-oss-no-think,anonymous,347,193,0.6397694524495677,0.6858789625360231,-4.610951008645536,-9.221902017291072,0.0,0.9015544041450777,0.9119170984455959,-1.0362694300518172,-4.663212435233155,2.590673575129532,0.07253886010362694,0.06735751295336788,0.5181347150259058,-3.1088082901554404,4.145077720207254
gpt-oss-no-think,self,347,193,0.6484149855907781,0.6829971181556196,-3.458213256484144,-7.78097982708934,0.8645533141210415,0.9015544041450777,0.9015544041450777,0.0,-3.626943005181349,3.626943005181338,0.06217616580310881,0.07253886010362694,-1.036269430051813,-4.663212435233161,3.1088082901554395
qwen3-no-think,anonymous,356,171,0.5786516853932584,0.5842696629213483,-0.5617977528089901,-3.6516853932584192,2.52808988764045,0.8830409356725146,0.8771929824561403,0.5847953216374324,-1.7543859649122862,2.92397660818714,0.07017543859649122,0.10526315789473684,-3.508771929824561,-7.602339181286549,0.5847953216374269
qwen3-no-think,self,356,171,0.5786516853932584,0.5926966292134831,-1.4044943820224698,-3.93258426966292,1.1235955056179803,0.8830409356725146,0.8771929824561403,0.5847953216374324,-1.1695906432748537,2.923976608187129,0.07017543859649122,0.09941520467836257,-2.923976608187134,-6.432748538011696,0.5847953216374269
