critic,condition,n_wrong_nofk,FAR_oneshot,FAR_gated,FAR_NofK_majority,delta_NofK_vs_oneshot_pp,delta_NofK_vs_gated_pp
gemma-4,anonymous,332,0.5120481927710844,0.46686746987951805,0.463855421686747,-4.81927710843374,-0.30120481927710663
gemma-4,other_model,332,0.5,0.463855421686747,0.4608433734939759,-3.9156626506024086,-0.30120481927710663
gpt-oss-no-think,anonymous,347,0.6858789625360231,0.6397694524495677,0.6311239193083573,-5.475504322766578,-0.8645533141210415
gpt-oss-no-think,self,347,0.6829971181556196,0.6484149855907781,0.6512968299711815,-3.170028818443804,0.2881844380403398
qwen3-no-think,anonymous,356,0.5319767441860465,0.5363372093023255,0.5533707865168539,2.139404233080744,1.7033577214528361
qwen3-no-think,self,356,0.5334302325581395,0.5290697674418605,0.5561797752808989,2.274954272275942,2.7110007839038386
